"uri","health_label"
"b3ce18c4a415f62086a858c54f2c3f19","Sugar-Conscious"
"b3ce18c4a415f62086a858c54f2c3f19","Peanut-Free"
"b3ce18c4a415f62086a858c54f2c3f19","Tree-Nut-Free"
"b3ce18c4a415f62086a858c54f2c3f19","Alcohol-Free"
"86ff24db234446dd12a6261a6d1e077e","Peanut-Free"
"86ff24db234446dd12a6261a6d1e077e","Tree-Nut-Free"
"86ff24db234446dd12a6261a6d1e077e","Alcohol-Free"
"a58812772195b463848117996db57eb5","Sugar-Conscious"
"a58812772195b463848117996db57eb5","Vegetarian"
"a58812772195b463848117996db57eb5","Peanut-Free"
"a58812772195b463848117996db57eb5","Tree-Nut-Free"
"a58812772195b463848117996db57eb5","Alcohol-Free"
"12f07fca0e5a4346cd1dcfc75baa97a5","Sugar-Conscious"
"12f07fca0e5a4346cd1dcfc75baa97a5","Peanut-Free"
"12f07fca0e5a4346cd1dcfc75baa97a5","Tree-Nut-Free"
"12f07fca0e5a4346cd1dcfc75baa97a5","Alcohol-Free"
"ab101c90db097a98865d0fad437832e3","Sugar-Conscious"
"ab101c90db097a98865d0fad437832e3","Vegetarian"
"ab101c90db097a98865d0fad437832e3","Peanut-Free"
"ab101c90db097a98865d0fad437832e3","Alcohol-Free"
"d85c39afd929b14206cd2c42fd6eac9b","Sugar-Conscious"
"d85c39afd929b14206cd2c42fd6eac9b","Vegetarian"
"d85c39afd929b14206cd2c42fd6eac9b","Peanut-Free"
"d85c39afd929b14206cd2c42fd6eac9b","Tree-Nut-Free"
"d85c39afd929b14206cd2c42fd6eac9b","Alcohol-Free"
"8551a35879e92bfb0974b3236f489e17","Vegetarian"
"8551a35879e92bfb0974b3236f489e17","Peanut-Free"
"8551a35879e92bfb0974b3236f489e17","Tree-Nut-Free"
"d46b579cf07b00f594512b7121d93d2a","Peanut-Free"
"d46b579cf07b00f594512b7121d93d2a","Alcohol-Free"
"52f11e7f8841516d57f4c452f69095b4","Vegetarian"
"52f11e7f8841516d57f4c452f69095b4","Peanut-Free"
"52f11e7f8841516d57f4c452f69095b4","Tree-Nut-Free"
"52f11e7f8841516d57f4c452f69095b4","Alcohol-Free"
"c75fed864ac7e5f3dea42b880d5ddfab","Sugar-Conscious"
"c75fed864ac7e5f3dea42b880d5ddfab","Vegetarian"
"c75fed864ac7e5f3dea42b880d5ddfab","Peanut-Free"
"c75fed864ac7e5f3dea42b880d5ddfab","Alcohol-Free"
"432572b1569c50fe1d3d5959671be29a","Vegetarian"
"432572b1569c50fe1d3d5959671be29a","Peanut-Free"
"432572b1569c50fe1d3d5959671be29a","Tree-Nut-Free"
"432572b1569c50fe1d3d5959671be29a","Alcohol-Free"
"9ff6f987fb35b108512e4acb1fe11f5d","Peanut-Free"
"9ff6f987fb35b108512e4acb1fe11f5d","Tree-Nut-Free"
"9ff6f987fb35b108512e4acb1fe11f5d","Alcohol-Free"
"e4cc54609be325ede02050171c04b869","Peanut-Free"
"e4cc54609be325ede02050171c04b869","Alcohol-Free"
"10dc1f9a52e508348b2647714ece6f97","Sugar-Conscious"
